Cosmetic Products Regulation, Annex III - Restricted Substances
Note: Group entries are split in different rows.
Export date: 06/05/2026 21:21:06
Header

"Substance Identifier"	""	



""	""	""	""	"Substance Identification"	"Substance Identification"	"Substance Identification"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	"Restrictions"	""	""	
"Name"	"EC / List no"	"CAS no"	"Ref No."	"Name"	"CAS"	"EC Number"	"Product type, body parts"	"Function(s)"	"Maximum Threshold"	"Minimum Threshold"	"Restriction(s)"	"Qualifier(s)"	"Expressed As"	"Warning Label"	"Notes"	
"1,3-Dihydroxy2-propanone"	"202-494-5"	"96-26-4"	"322"	"1,3-Dihydroxy2-propanone"	"96-26-4"	"202-494-5"	"Hair dye substance in non-oxidative hair dye products"	""	"6.25 %"	""	""	""	""	""	"From 26 January 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 22 April 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be made available on the Union market"	
"1,3-Dihydroxy2-propanone"	"202-494-5"	"96-26-4"	"322"	"1,3-Dihydroxy2-propanone"	"96-26-4"	"202-494-5"	"Self-tanning products"	""	"10 %"	""	""	""	""	""	"From 26 January 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be placed on the Union market. From 22 April 2022 hair dye and self-tanning products containing that substance and not complying with the restrictions shall not be made available on the Union market"	
"1,4-Benzenediamine, 2-(methoxymethyl)"	"679-526-3"	"337906-36-2"	"292"	"1,4-Benzenediamine, 2-(methoxymethyl)"	"337906-36-2"	"679-526-3"	"Hair dye substance in oxidative hair dye products"	""	"1.8 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.8 % (calculated as free base)"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"1,4-Benzenediamine, 2-(methoxymethyl)"	"679-526-3"	"337906-36-2"	"292"	"1,4-Benzenediamine, 2-(methoxymethyl)"	"337906-36-2"	"679-526-3"	"Professional use products intended for colouring eyelashes"	""	"1.8 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.8 % (calculated as free base). Professional use"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. For professional use only. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"1,4-Benzenediamine, 2-(methoxymethyl)-, sulfate"	"638-749-6"	"337906-37-3"	"292"	"1,4-Benzenediamine, 2-(methoxymethyl)-, sulfate"	"337906-37-3"	"638-749-6"	"Hair dye substance in oxidative hair dye products"	""	"1.8 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.8 % (calculated as free base)"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	""	
"1,4-Benzenediamine, 2-(methoxymethyl)-, sulfate"	"638-749-6"	"337906-37-3"	"292"	"1,4-Benzenediamine, 2-(methoxymethyl)-, sulfate"	"337906-37-3"	"638-749-6"	"Professional use products intended for colouring eyelashes"	""	"1.8 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1.8 % (calculated as free base). Professional use"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: has a rash on the face or sensitive, irritated and damaged scalp, has experienced any reaction after colouring hair or eyelashes, has experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. For professional use only. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"1,4-Benzenediamine, 2-methyl-"	"202-442-1"	"95-70-5"	"9a"	"1,4-Benzenediamine, 2-methyl-"	"95-70-5"	"202-442-1"	"Professional use cosmetic products for coloring eyelashes"	""	"2 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base)"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your eyelashes if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair or eyelashes, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines. Rinse eyes immediately if product comes into contact with them.&#39;&#39;"	""	
"1,4-Benzenediamine, 2-methyl-"	"202-442-1"	"95-70-5"	"9a"	"1,4-Benzenediamine, 2-methyl-"	"95-70-5"	"202-442-1"	"General use hair dye substance in oxidative hair dye products"	""	"2 %"	""	"For general useAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base)"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Do not use to dye eyelashes or eyebrows.&#39;&#39;"	""	
"1,4-Benzenediamine, 2-methyl-"	"202-442-1"	"95-70-5"	"9a"	"1,4-Benzenediamine, 2-methyl-"	"95-70-5"	"202-442-1"	"Professional use hair dye substance in oxidative hair dye products"	""	"2 %"	""	"For professional use onlyAfter mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 2.0 % (calculated as free base)"	""	"As free base"	"To be printed on the label: The mixing ratio. &#39;&#39;For professional use only. Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past. Contains phenylenediamines (toluenediamines). Wear suitable gloves.&#39;&#39;"	""	
"1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene"	"680-610-7"	"95576-89-9"	"250"	"1,4-bis-(2&#39;,3&#39;-dihydroxypropyl)amino-2-nitro-5-chlorobenzene"	"95576-89-9"	""	"Hair dye substance in non-oxidative hair dye products"	""	"2 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	""	
"1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene"	"680-610-7"	"95576-89-9"	"250"	"1,4-bis-(2&#39;,3&#39;-dihydroxypropyl)amino-2-nitro-5-chlorobenzene"	"95576-89-9"	""	"Hair dye substance in oxidative hair dye products"	""	"1 %"	""	"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0 %Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	"To be printed on the label: The mixing ratio. &#39;&#39;Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary &#39;&#39;black henna&#39;&#39; tattoos may increase your risk of allergy. Do not colour your hair if: you have a rash on your face or sensitive, irritated and damaged scalp, you have ever experienced any reaction after colouring your hair, you have experienced a reaction to a temporary &#39;&#39;black henna&#39;&#39; tattoo in the past.&#39;&#39;"	"After mixing under oxidative conditions the maximum concentration applied to hair"	
"1,4-Diaminoanthraquinone"	"204-922-6"	"128-95-0"	"265"	"1,4-Diaminoanthraquinone"	"128-95-0"	"204-922-6"	"Hair dye substance in non-oxidative hair dye products"	""	"0.5 %"	""	"Impurity of Disperse Red 15 in Disperse Violet 1 for hair dye formulations should be &lt; 1% (w/w)"	""	""	""	""	
"1,5-Di-(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene"	"416-940-3"	"109023-83-8"	"231"	"1,5-Di-(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene"	"109023-83-8"	"416-940-3"	"Hair dye substance in non-oxidative hair dye products"	""	"0.1 %"	""	"Do not use with nitrosating agentsMaximum nitrosamine content: 50 μg /kgKeep in nitrite-free containers"	""	""	""	"The free base and salts of this hair colouring ingredient, unless prohibited under Annex II, are permitted for use"	
"1,6-Octadien-3-ol, 3,7-dimethyl-"	"201-134-4"	"78-70-6"	"84"	"1,6-Octadien-3-ol, 3,7-dimethyl-"	"78-70-6"	"201-134-4"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	""	
"1,7,7-Trimethylbicyclo[2.2.1]-2-heptanone;Bornan-2-one"	"200-945-0"	"76-22-2"	"331"	"Bornan-2-one1,7,7-Trimethylbicyclo[2.2.1]-2-heptanone"	"76-22-2"	"200-945-0"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,5,5-tetramethyl-2-naphthyl)ethan-1-one"	"259-175-9"	"54464-59-4"	"344"	"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,5,5-tetramethyl-2-naphthyl)ethan-1-one"	"54464-59-4"	"259-175-9"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one"	"259-174-3"	"54464-57-2"	"344"	"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one"	"54464-57-2"	"259-174-3"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1-(1,2,3,4,6,7,8,8a-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one"	"268-979-9"	"68155-67-9"	"344"	"1-(1,2,3,4,6,7,8,8a-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one"	"68155-67-9"	"268-979-9"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1-(1,2,3,5,6,7,8,8a-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one"	"268-978-3"	"68155-66-8"	"344"	"1-(1,2,3,5,6,7,8,8a-Octahydro-2,3,8,8-tetramethyl-2-naphthyl)ethan-1-one"	"68155-66-8"	"268-978-3"	"All cosmetic products"	""	""	""	"The presence of the substance must be indicated in the list of ingredients referred to in Article 19(1)(g) when its concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"Cosmetic products containing that substance that do not comply with the restrictions may be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one;Rose ketone-5"	"251-632-0"	"33673-71-1"	"164"	"Rose ketone-51-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one"	"33673-71-1"	"251-632-0"	"All cosmetic products"	""	"0.02 %"	""	""	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;"	
"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-butenone"	"620-558-4"	"43052-87-5"	"157"	"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-butenone"	"43052-87-5"	""	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-butenone"	"620-558-4"	"43052-87-5"	"157"	"1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-2-butenone"	"43052-87-5"	""	"Oral products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one"	"260-709-8"	"57378-68-4"	"157"	"1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one"	"57378-68-4"	"260-709-8"	"Oral products"	""	""	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
"1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one"	"260-709-8"	"57378-68-4"	"157"	"1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one"	"57378-68-4"	"260-709-8"	"Cosmetic products other than oral products"	""	"0.02 %"	""	"The presence of the substance or substances shall be indicated as &#39;Rose ketones&#39; in the list of ingredients referred to in Article 19(1)(g) when the concentration exceeds: 0.001% in leave-on products and 0.01 % in rinse-off products"	""	""	""	"The sum of those substances used in combination should not exceed the limits given as &#39;Maximum concentration in ready for use preparation&#39;Cosmetic products containing that substance that do not comply with the restrictions may, provided that they comply with the restrictions applicable on 15 August 2023, be placed on the Union market until 31 July 2026 and made available on the Union market until 31 July 2028"	
