53,"Benzenemethanaminium, N,N-",Benzethonium Chloride,121-54-0,204-479-9,0.1%,,,,16/10/2010
,"dimethyl-N-[2-[2-[4-(1,1,3,3,-",,,,,,,,
,tetramethylbutyl)phenoxy]ethoxy,,,,,,,,
,"]ethyl]-, chloride",,,,,,,,
,,Substance identification,,,,Conditions,,,
Reference,,Name of Common Ingredients,,,,Maximum concentration in,,Wording of conditions of use,
Number,Chemical name / INN,Glossary,CAS Number,EC Number,"Product Type, body parts",ready for use preparation,Other,and warnings,Update date
54,"Benzalkonium chloride, bromide",BENZALKONIUM CHLORIDE /,8001-54-5/,264-151-6 /,0.1% (as benzalkonium chloride),,Avoid contact with eyes,,16/10/2010
,and saccharinate (10),BENZALKONIUM BROMIDE /,63449-41-2 /,293-522-5 /,,,,,
,,BENZALKONIUM SACCHARINATE,91080-29-4 /,273-545-7 /,,,,,
,,,68989-01-5 /,270-325-2 /,,,,,
,,,68424-85-1 /,269-919-4 /,,,,,
,,,68391-01-5 /,263-080-8 /,,,,,
,,,61789-71-7 /,287-089-1,,,,,
,,,85409-22-9,,,,,,
55,"Methanol, (phenylmethoxy)-",BENZYLHEMIFORMAL,14548-60-8,238-588-8,0.15%,,,,02/08/2021
56,3-Iodo-2-,IODOPROPYNYL,55406-53-6,259-627-5,a) 0.02%,Not to be used in oral and lip,a) Not to be used for children,,16/10/2010
,propynylbutylcarbamate,BUTYLCARBAMATE,,,b) 0.01%,products,under three years of age (11),,
,,,,,c) 0.0075%,a) Not to be used in products for,b) and c) Not to be used for,,
,,,,,,"children under 3 years of age,",children under three years of age,,
,,,,,,except in bath products / shower,(12),,
,,,,,,gels and shampoos,,,
,,,,,,b) Not to be used in body lotion,,,
,,,,,,and body cream (13),,,
,,,,,,b) and c) Not to be used in,,,
,,,,,,products for children under 3,,,
,,,,,,years of age,,,
57,2-Methyl-2H-isothiazol-3-one,METHYLISOTHIAZOLINONE,2682-20-4,220-239-6,"0,0015 % Rinse-off products",,,,27/07/2020
58,Ethyl-N-alpha-dodecanoyl-L-,,60372-77-2,434-630-6,"(a) 0,15 %",(a) Not to be used in preparations,(a) Not to be used for children,,27/07/2020
,arginate hydrochloride,,,,,for children under 10 years of age,under 10 years of age,,
,,,,,"(b) 0,4 %",,,,
,,,,,,"(b) Not to be used in lip products,",,,
,,,,,,oral products (other than,,,
,,,,,,"mouthwashes), and spray",,,
,,,,,,products,,,
59,"1,2,3-Propanetricarboxylic acid, 2-",CITRIC ACID (AND) SILVER,5949-29-1;,460-890-5,"0,2% corresponding to 0,0024%",Not to be used in oral producrs,,,06/08/2020
,"hydroxy-, monohydrate and 1,2,3-",CITRATE,77-92-9;,,of silver,and eye products,,,
,"Propanetricarboxylic acid, 2-",,36701-38-9,,,,,,
,"hydroxy-silver(1+) salt,",,,,,,,,
,monohydrate,,,,,,,,
60,4-(3-ethoxy-4-,HYDROXYETHOXY-PHENYL,569646-79-3,933-435-8,0.7 %,,,,27/07/2020
,hy-droxyphenyl)bu-tan-2-one,"BUTANONE, HEPB",,,,,,,
61,Silver zinc zeolite,Ammonium Silver Zinc Aluminium,130328-20-0,603-404-0,(a) and (b) 1 %,For (a) and (b) the silver content,,,06/05/2026
,,Silicate,,,,in Ammonium Silver Zinc,,,
,,,,,,Aluminium Silicate must not,,,
,,,,,,"exceed 2,5 %.",,,
